Component,Variable,English_Default,Arabic,Bulgarian,Chinese_Simplified,Chinese_Traditional,Croatian,Czech,Danish,Dutch ,English_United Kingdom,Estonian,Finnish,French,German,Hebrew,Hungarian,Icelandic,Italian,Japanese,Korean,Latvian,Lithuanian,Malay,Norwegian,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Ukranian,Vietnamese
,,en,ar,bg,zh-Hans,zh-Hant,hr,cs,da,nl,en-GB,et,fi,fr,de,he,hu,is,it,ja,ko,lv,lt,ms,no,pl,pt,ro,ru,sr,sk,sl,es,sv,th,uk,vi
Animation Toggle,atAudioDescriptionLabel,Audio Description,وصف صوتي,Аудио описание,音频描述,音訊描述,Zvučni opis,Zvukový popis,Lydbeskrivelse,Audiobeschrijving,Audio Description,Heli kirjeldus,Äänikuvaus,Description audio,Audiobeschreibung,תיאור שמע,Hangos leírás,Hljóðlýsing,Descrizione audio,音声解説,오디오 설명,Audio apraksts,Garso aprašymas,Penerangan Audio,Lydbeskrivelse,Audiodeskrypcja,Descrição em áudio,Descriere audio,Аудиоописание,Аудио опис,Zvukový popis,Zvočni opis,Descripción de audio,Ljudbeskrivning,คำบรรยายเสียง,Аудіоопис,Mô tả âm thanh
Animation Toggle,atVideoLabel,Background Animation,خلفية متحركة,Фонова анимация,背景动画,背景動畫,Animacija pozadine,Animace pozadí,Baggrundsanimation,Achtergrondanimatie,Background Animation,Taustaanimatsioon,Tausta-animaatio,Animation de fond,Hintergrundanimation,אנימציית רקע,Háttéranimáció,Bakgrunnshreyfimynd,Animazione di sfondo,背景アニメーション,배경 애니메이션,Fona animācija,Fono animacija,Animasi Latar Belakang,Bakgrunnsanimasjon,Animacja tła,Animação de fundo,Animație de fundal,Фоновая анимация,Анимација у позадини,Animácia pozadia,Animacija ozadja,Animación de fondo,Bakgrundsanimering,ภาพเคลื่อนไหวพื้นหลัง,Фонова анімація,Hoạt ảnh nền
Animation Toggle,atPauseButtonLabel,Pause Animation,إيقاف الرسوم المتحركة,Пауза на анимацията,暂停动画,暫停動畫,Pauziraj animaciju,Pozastavit animaci,Pause animation,Pauzeer animatie,Pause Animation,Animatsiooni peatamine,Keskeytä animaatio,Mettre en pause l'animation,Animation pausieren,השהיית האנימציה,Animáció szüneteltetése,Gera hlé á hreyfimynd,Pausa animazione,アニメーションを一時停止,애니메이션 일시 정지,Pauzēt animāciju,Pristabdyti animaciją,Jeda Animasi,Pause animasjon,Wstrzymaj animację,Animação de pausa,Pauză animație,Пауза анимации,Паузирај анимацију,Pozastaviť animáciu,Zaustavi animacijo,Pausa en la animación,Pausa animering,หยุดแอนิเมชั่น,Призупинити анімацію,Tạm dừng hoạt ảnh
General,glNewWindow,(opens in new window),(يفتح في نافذة جديدة),(отваря се в нов прозорец),（在新窗口中打开）,（在新視窗中開啟）,(otvara se u novom prozoru),(otevře se v novém okně),(åbner i nyt vindue),(opent in een nieuw venster),(opens in new window),(avaneb uues aknas),(avautuu uuteen ikkunaan),(ouvre dans une nouvelle fenêtre),(wird in einem neuen Fenster geöffnet),(נפתח בחלון חדש),(új ablakban nyílik meg),(opnast í nýjum glugga),(si apre in una nuova finestra),（新しいウィンドウで開きます）,(새 창에서 열립니다),(atveras jaunā logā),(atsidaro naujame lange),(dibuka dalam tetingkap baharu),(åpnes i nytt vindu),(otwiera się w nowym oknie),(abre em nova janela),(se deschide într-o fereastră nouă),(откроется в новом окне),(отвара се у новом прозору),(otvorí sa v novom okne),(odpre se v novem oknu),(Se abre en una ventana nueva),(öppnas i nytt fönster),(เปิดในหน้าต่างใหม่),(відкриється в новому вікні),(mở trong cửa sổ mới)
Accordion,accordionCloseButtonLabel,Close,يغلق,Затвори,关闭,關閉,Zatvoriti,Blízko,Tæt,Dichtbij,Close,Sule,Lähellä,Fermer,Schließen,לִסְגוֹר,Közeli,Loka,Vicino,近い,닫다,Aizvērt,Uždaryti,Tutup,Lukke,Zamknąć,Fechar,Aproape,Закрывать,Затвори,Zatvoriť,Zapri,Cerca,Nära,ปิด,Закрити,Đóng
Tile,tileShowContentLabel,Show Content,عرض المحتوى,Покажи съдържание,显示内容,顯示內容,Prikaži sadržaj,Zobrazit obsah,Vis indhold,Inhoud weergeven,Show Content,Näita sisu,Näytä sisältö,Afficher le contenu,Inhalt anzeigen,הצג תוכן,Tartalom megjelenítése,Sýna efni,Mostra contenuto,コンテンツを表示,콘텐츠 표시,Rādīt saturu,Rodyti turinį,Tunjukkan Kandungan,Vis innhold,Pokaż zawartość,Mostrar conteúdo,Afișați conținutul,Показать содержимое,Прикажи садржај,Zobraziť obsah,Prikaži vsebino,Mostrar contenido,Visa innehåll,แสดงเนื้อหา,Показати вміст,Hiển thị nội dung
Dialog,labelDialogClose,Close,يغلق,Затвори,关闭,關閉,Zatvoriti,Blízko,Tæt,Dichtbij,Close,Sule,Lähellä,Fermer,Schließen,לִסְגוֹר,Közeli,Loka,Vicino,近い,닫다,Aizvērt,Uždaryti,Tutup,Lukke,Zamknąć,Fechar,Aproape,Закрывать,Затвори,Zatvoriť,Zapri,Cerca,Nära,ปิด,Закрити,Đóng
Dialog,labelDialogAudioDescription,Audio Description,وصف صوتي,Аудио описание,音频描述,音訊描述,Zvučni opis,Zvukový popis,Lydbeskrivelse,Audiobeschrijving,Audio Description,Heli kirjeldus,Äänikuvaus,Description audio,Audiobeschreibung,תיאור שמע,Hangos leírás,Hljóðlýsing,Descrizione audio,音声解説,오디오 설명,Audio apraksts,Garso aprašymas,Penerangan Audio,Lydbeskrivelse,Audiodeskrypcja,Descrição em áudio,Descriere audio,Аудиоописание,Аудио опис,Zvukový popis,Zvočni opis,Descripción de audio,Ljudbeskrivning,คำบรรยายเสียง,Аудіоопис,Mô tả âm thanh
Dialog,labelDialogTranscriptHeading,Transcript,نص,Препис,文字稿,文字稿,Prijepis,Přepis,Transskription,Transcript,Transcript,Transkript,transkriptio,Transcription,Transkript,תמלול,Átirat,Afrit,Trascrizione,文字起こし,성적 증명서,Transkripts,Nuorašas,Transkrip,Transkripsjon,Transkrypcja,Transcrição,Transcriere,Стенограмма,Транскрипт,Prepis,Prepis,Transcripción,Avskrift,ถอดความ,Стенограма,Bản ghi
Dialog,labelDialogTranscriptButton,Video Transcript,نص الفيديو,Видео препис,视频文字稿,視訊文字稿,Video transkript,Přepis videa,Videotransskription,Videotranscript,Video Transcript,Video transkriptsioon,Videon transkriptio,Transcription vidéo,Videotranskript,תמלול וידאו,Videó átirat,Myndbandsuppskrift,Trascrizione del video,動画の文字起こし,영상 대본,Video transkripts,Vaizdo įrašo transkripcija,Transkrip Video,Videotranskripsjon,Transkrypcja wideo,Transcrição do vídeo,Transcriere video,Текст видео,Видео транскрипт,Prepis videa,Video prepis,Transcripción del video,Videotranskription,คำบรรยายวิดีโอ,Відеотранскрипт,Bản ghi video
Dialog,labelDialogVideo,Video,فيديو,Видео,视频,影片,Video,Video,Video,Video,Video,Video,Video,Vidéo,Video,וִידֵאוֹ,Videó,Myndband,Video,ビデオ,동영상,Video,Vaizdo įrašas,Video,Video,Wideo,Vídeo,Video,Видео,Видео,Video,Videoposnetek,Video,Video,วิดีโอ,Відео,Băng hình
Dialog,labelDialogVideoSuffix,(Video),(فيديو),(Видео),（视频）,(影片),(Video),(Video),(Video),(Video),(Video),(Video),(Video),(Vidéo),(Video),(וִידֵאוֹ),(Videó),(Myndband),(Video),（ビデオ）,(동영상),(Video),(Vaizdo įrašas),(Video),(Video),(Wideo),(Vídeo),(Video),(Видео),(Видео),(Video),(Videoposnetek),(Video),(Video),(วิดีโอ),(Відео),(Băng hình)
Dialog,labelDialogTranscriptNotFound,Transcript not found.,لم يتم العثور على نص النسخة.,Преписът не е намерен.,未找到文字记录。,未找到文字記錄。,Transkript nije pronađen.,Přepis nebyl nalezen.,Transskription ikke fundet.,Transcript niet gevonden.,Transcript not found.,Transkripti ei leitud.,Transkriptiota ei löytynyt.,Transcription introuvable.,Transkript nicht gefunden.,התמליל לא נמצא.,Átirat nem található.,Afrit fannst ekki.,Trascrizione non trovata.,文字起こしが見つかりませんでした。,녹취록을 찾을 수 없습니다.,Transkripts nav atrasts.,Nuorašas nerastas.,Transkrip tidak ditemui.,Transkripsjonen ble ikke funnet.,Nie znaleziono transkryptu.,Transcrição não encontrada.,Transcrierea nu a fost găsită.,Транскрипт не найден.,Транскрипт није пронађен.,Prepis sa nenašiel.,Prepisa ni bilo mogoče najti.,No se encontró la transcripción.,Transkriptet hittades inte.,ไม่พบไฟล์ถอดเสียง,Транскрипт не знайдено.,Không tìm thấy bản ghi.
Dialog,labelDialogTranscriptFailed,Transcript failed to load.,فشل تحميل النص.,Зареждането на преписа не бе успешно.,成绩单加载失败。,成績單加載失敗。,Učitavanje transkripta nije uspjelo.,Načtení přepisu se nezdařilo.,Transskriptionen kunne ikke indlæses.,Het transcript kon niet worden geladen.,Transcript failed to load.,Transkripti laadimine ebaõnnestus.,Transkription lataaminen epäonnistui.,Impossible de charger la transcription.,Das Transkript konnte nicht geladen werden.,טעינת התמליל נכשלה.,Az átirat betöltése sikertelen.,Mistókst að hlaða uppskriftinni.,Impossibile caricare la trascrizione.,文字起こしデータの読み込みに失敗しました。,녹취록을 불러오는 데 실패했습니다.,Neizdevās ielādēt transkriptu.,Nepavyko įkelti transkripcijos.,Transkrip gagal dimuatkan.,Kunne ikke laste inn transkripsjonen.,Nie udało się załadować transkryptu.,A transcrição não pôde ser carregada.,Transcrierea nu s-a putut încărca.,Не удалось загрузить расшифровку.,Учитавање транскрипта није успело.,Prepis sa nepodarilo načítať.,Prepis se ni naložil.,No se pudo cargar la transcripción.,Transkriptionen kunde inte läsas in.,ไม่สามารถโหลดไฟล์ถอดเสียงได้,Не вдалося завантажити транскрипт.,Bản ghi không tải được.
Dialog,labelDialogContentNotFound,Content not found.,لم يتم العثور على المحتوى.,Съдържанието не е намерено.,未找到内容。,未找到內容。,Sadržaj nije pronađen.,Obsah nenalezen.,Indhold ikke fundet.,Inhoud niet gevonden.,Content not found.,Sisu ei leitud.,Sisältöä ei löytynyt.,Contenu introuvable.,Inhalt nicht gefunden.,התוכן לא נמצא.,A tartalom nem található.,Efni fannst ekki.,Contenuto non trovato.,コンテンツが見つかりません。,콘텐츠를 찾을 수 없습니다.,Saturs nav atrasts.,Turinys nerastas.,Kandungan tidak ditemui.,Innholdet ble ikke funnet.,Nie znaleziono treści.,Conteúdo não encontrado.,Conținut negăsit.,Содержимое не найдено.,Садржај није пронађен.,Obsah sa nenašiel.,Vsebine ni bilo mogoče najti.,Contenido no encontrado.,Innehållet hittades inte.,ไม่พบเนื้อหา,Контент не знайдено.,Không tìm thấy nội dung.
Dialog,labelDialogLoadingContent,Loading content...,جارٍ تحميل المحتوى...,Зареждане на съдържание...,正在加载内容……,正在加載內容…,Učitavanje sadržaja...,Načítání obsahu...,Indlæser indhold...,Inhoud laden...,Loading content...,Sisu laadimine...,Sisältöä ladataan...,Chargement du contenu...,Inhalt wird geladen...,טוען תוכן...,Tartalom betöltése...,Hleður inn efni...,Caricamento dei contenuti in corso...,コンテンツを読み込んでいます...,콘텐츠를 불러오는 중...,Notiek satura ielāde...,Kraunamas turinys...,Memuatkan kandungan...,Laster inn innhold ...,Ładowanie treści...,Carregando conteúdo...,Se încarcă conținutul...,Загрузка содержимого...,Учитавање садржаја...,Načítava sa obsah...,Nalaganje vsebine ...,Cargando contenido...,Laddar innehåll...,กำลังโหลดเนื้อหา...,Завантаження контенту...,Đang tải nội dung...
Dialog,labelDialogContentFailed,Content failed to load.,فشل تحميل المحتوى.,Зареждането на съдържанието не бе успешно.,内容加载失败。,內容載入失敗。,Učitavanje sadržaja nije uspjelo.,Obsah se nepodařilo načíst.,Indholdet kunne ikke indlæses.,De inhoud kon niet worden geladen.,Content failed to load.,Sisu laadimine ebaõnnestus.,Sisällön lataaminen epäonnistui.,Le contenu n'a pas pu être chargé.,Inhalt konnte nicht geladen werden.,טעינת התוכן נכשלה.,A tartalom betöltése sikertelen.,Mistókst að hlaða efni.,Impossibile caricare il contenuto.,コンテンツの読み込みに失敗しました。,콘텐츠를 불러오는 데 실패했습니다.,Neizdevās ielādēt saturu.,Nepavyko įkelti turinio.,Kandungan gagal dimuatkan.,Kunne ikke laste inn innholdet.,Nie udało się załadować treści.,O conteúdo não carregou.,Conținutul nu s-a putut încărca.,Не удалось загрузить контент.,Учитавање садржаја није успело.,Obsah sa nepodarilo načítať.,Vsebine ni bilo mogoče naložiti.,El contenido no se pudo cargar.,Innehållet kunde inte laddas.,ไม่สามารถโหลดเนื้อหาได้,Не вдалося завантажити контент.,Nội dung không tải được.
Dialog,labelDialogMissingNameHeading,Accessible Name Missing,الاسم المتاح مفقود,Липсва достъпно име,缺少可访问名称,缺少可訪問名稱,Nedostaje pristupačno ime,Chybí přístupný název,Tilgængeligt navn mangler,Toegankelijke naam ontbreekt,Accessible Name Missing,Ligipääsetav nimi puudub,Esteettömän nimen puuttuminen,Nom accessible manquant,Zugänglicher Name fehlt,חסר שם נגיש,Hiányzó elérhető név,Aðgengilegt nafn vantar,Nome accessibile mancante,アクセシブルネームがありません,접근 가능한 이름이 누락되었습니다,Trūkst pieejamā nosaukuma,Trūksta prieinamo pavadinimo,Nama Boleh Diakses Hilang,Tilgjengelig navn mangler,Brak dostępnej nazwy,Nome acessível ausente,Nume accesibil lipsește,Отсутствует доступное имя,Недостаје приступачно име,Chýba názov pre prístupné osoby,Manjka dostopno ime,Falta el nombre accesible,Tillgängligt namn saknas,ชื่อที่เข้าถึงได้หายไป,Відсутнє ім'я для людей з обмеженими можливостями,Tên có thể truy cập bị thiếu
Dialog,labelDialogMissingNameMessage,"An accessible name must be provided. Add data-label with a descriptive value, data-labelledby pointing to an id already present on the page, or data-dynamic-label to fetch one automatically.",يجب توفير اسم يسهل الوصول إليه. أضف خاصية data-label بقيمة وصفية، أو data-labelledby تشير إلى معرّف موجود مسبقًا في الصفحة، أو data-dynamic-label لجلب معرّف تلقائيًا.,"Трябва да се предостави достъпно име. Добавете data-label с описателна стойност, data-labelled чрез сочене към идентификатор, който вече е наличен на страницата, или data-dynamic-label за автоматично извличане на такъв.",必须提供一个易于访问的名称。添加带有描述性值的 data-label，使用 data-labelledby 指向页面上已存在的 id，或使用 data-dynamic-label 自动获取 id。,必須提供一個易於訪問的名稱。新增帶有描述性值的 data-label，使用 data-labelledby 指向頁面上已存在的 id，或使用 data-dynamic-label 自動取得 id。,"Mora se navesti pristupačan naziv. Dodajte data-label s opisnom vrijednošću, data-labelled upućujući na ID koji je već prisutan na stranici ili data-dynamic-label za automatsko dohvaćanje.","Je nutné zadat přístupný název. Přidejte data-label s popisnou hodnotou, data-labeld odkazující na ID, které je již na stránce přítomno, nebo data-dynamic-label pro automatické načtení ID.","Der skal angives et tilgængeligt navn. Tilføj data-label med en beskrivende værdi, data-labelledby peger på et id, der allerede findes på siden, eller data-dynamic-label for at hente et automatisk.","Er moet een toegankelijke naam worden opgegeven. Voeg `data-label` toe met een beschrijvende waarde, `data-labelledby` die verwijst naar een ID die al op de pagina aanwezig is, of `data-dynamic-label` om er automatisch een op te halen.","An accessible name must be provided. Add data-label with a descriptive value, data-labelledby pointing to an id already present on the page, or data-dynamic-label to fetch one automatically.","Sisestage ligipääsetav nimi. Lisage kirjeldava väärtusega „data-label”, lehel juba olevale ID-le osutades „data-label” või automaatselt ID-ks „data-dynamic-label”.","Esteetön nimi on annettava. Lisää data-label kuvaavalla arvolla, data-label osoittamalla sivulla jo olevaan tunnukseen tai data-dynamic-label noutaaksesi sellaisen automaattisesti.","Un nom accessible doit être fourni. Ajoutez `data-label` avec une valeur descriptive, `data-labelledby` en faisant référence à un identifiant déjà présent sur la page, ou `data-dynamic-label` pour en récupérer un automatiquement.","Es muss ein aussagekräftiger Name angegeben werden. Fügen Sie ein data-label mit einem beschreibenden Wert hinzu, ein data-labelledby, das auf eine bereits auf der Seite vorhandene ID verweist, oder ein data-dynamic-label, um automatisch eine ID abzurufen.","יש לספק שם נגיש. הוסף data-label עם ערך תיאורי, data-labeled על ידי הצבעה למזהה שכבר קיים בדף, או data-dynamic-label כדי לאחזר שם אוטומטית.","Meg kell adni egy könnyen hozzáférhető nevet. Adjon meg egy leíró értékkel rendelkező „data-label” nevet, egy oldalon már jelen lévő azonosítóra mutató „data-label” nevet, vagy egy automatikus lekéréshez a „data-dynamic-label” nevet.","Gefa þarf upp aðgengilegt nafn. Bætið við `data-label` með lýsandi gildi, `data-labelled` með því að vísa á auðkenni sem er þegar til staðar á síðunni, eða `data-dynamic-label` til að sækja eitt sjálfkrafa.","È necessario fornire un nome accessibile. Aggiungi un'etichetta dati con un valore descrittivo, un'etichetta dati con l'attributo `data-labelledby` che punta a un ID già presente nella pagina, oppure un'etichetta dati con l'attributo `data-dynamic-label` per recuperarne una automaticamente.",アクセス可能な名前を指定する必要があります。説明的な値を指定するdata-label、ページに既に存在するIDを指すdata-labelledby、または自動的に取得するdata-dynamic-labelを追加してください。,"접근 가능한 이름을 제공해야 합니다. 설명적인 값을 가진 `data-label`을 추가하거나, 페이지에 이미 있는 ID를 가리키는 `data-labelledby`를 추가하거나, 자동으로 ID를 가져오는 `data-dynamic-label`을 추가하세요.","Jānorāda pieejams nosaukums. Pievienojiet “data-label” ar aprakstošu vērtību, “data-label” ar norādi uz lapā jau esošu ID vai “data-dynamic-label”, lai to automātiski ielādētu.","Turi būti pateiktas lengvai suprantamas pavadinimas. Pridėkite „data-label“ su aprašomąja reikšme, „data-label“ nurodant į puslapyje jau esantį ID arba „data-dynamic-label“, kad jis būtų gautas automatiškai.","Nama yang boleh diakses mesti diberikan. Tambahkan data-label dengan nilai deskriptif, data-labelleddengan menunjuk ke id yang sedia ada pada halaman atau data-dynamic-label untuk mengambilnya secara automatik.","Et tilgjengelig navn må oppgis. Legg til data-label med en beskrivende verdi, data-labeledby som peker til en ID som allerede finnes på siden, eller data-dynamic-label for å hente en automatisk.","Należy podać dostępną nazwę. Dodaj etykietę danych z wartością opisową, etykietę danych (data-labeled), wskazującą na identyfikator już obecny na stronie, lub dynamiczną etykietę danych (data-dynamic-label), aby pobrać ją automatycznie.","É necessário fornecer um nome acessível. Adicione `data-label` com um valor descritivo, `data-labeledby` apontando para um ID já presente na página ou `data-dynamic-label` para buscar um automaticamente.","Trebuie furnizat un nume accesibil. Adăugați data-label cu o valoare descriptivă, data-labeled indicând un ID deja prezent pe pagină sau data-dynamic-label pentru a prelua unul automat.","Необходимо указать доступное имя. Добавьте data-label с описательным значением, data-labeledby, указывающий на уже существующий на странице идентификатор, или data-dynamic-label для автоматического получения идентификатора.","Мора се навести приступачно име. Додајте data-label са описном вредношћу, data-labeled указивањем на идентификатор који је већ присутан на страници или data-dynamic-label да бисте га аутоматски преузели.","Musí byť zadaný prístupný názov. Pridajte data-label s popisnou hodnotou, data-labeld s odkazom na ID, ktoré je už na stránke prítomné, alebo data-dynamic-label pre automatické načítanie.","Navesti je treba dostopno ime. Dodajte oznako podatkov z opisno vrednostjo, oznako podatkov s kazalcem na ID, ki je že prisoten na strani, ali oznako podatkov z dinamično oznako, da jo samodejno pridobite.","Debe proporcionarse un nombre accesible. Añada `data-label` con un valor descriptivo, `data-labelledby` apuntando a un ID que ya esté presente en la página, o `data-dynamic-label` para obtenerlo automáticamente.","Ett lättillgängligt namn måste anges. Lägg till data-label med ett beskrivande värde, data-labelledby som pekar på ett id som redan finns på sidan, eller data-dynamic-label för att hämta ett automatiskt.",ต้องระบุชื่อที่เข้าถึงได้ง่าย เพิ่ม data-label พร้อมค่าที่สื่อความหมาย หรือเพิ่ม data-labelledby เพื่อชี้ไปยัง id ที่มีอยู่แล้วในหน้าเว็บ หรือเพิ่ม data-dynamic-label เพื่อดึง id มาโดยอัตโนมัติ,"Потрібно вказати доступне ім'я. Додайте data-label з описовим значенням, data-labeld, вказуючи на ідентифікатор, який уже присутній на сторінці, або data-dynamic-label, щоб отримати його автоматично.","Cần cung cấp một tên dễ truy cập. Thêm thuộc tính `data-label` với giá trị mô tả, `data-labelledby` trỏ đến một ID đã có trên trang hoặc `data-dynamic-label` để tự động lấy ID đó."
Dialog,labelDialogVideoFallback,Video Player,مشغل الفيديو,Видео плейър,视频播放器,影片播放器,Video player,Videopřehrávač,Videoafspiller,Videospeler,Video Player,Videopleier,Videosoitin,Lecteur vidéo,Videoplayer,נַגָן וִידֵיאוֹ,Videolejátszó,Myndspilari,Lettore video,ビデオプレーヤー,비디오 플레이어,Video atskaņotājs,Vaizdo grotuvas,Pemain Video,Videospiller,Odtwarzacz wideo,Reprodutor de vídeo,Player video,Видеоплеер,Видео плејер,Prehrávač videa,Predvajalnik videoposnetkov,Reproductor de video,Videospelare,เครื่องเล่นวิดีโอ,Відеоплеєр,Trình phát video
Dialog,labelDialogIframeFallback,Embedded Content,المحتوى المضمن,Вградено съдържание,嵌入式内容,嵌入式內容,Ugrađeni sadržaj,Vložený obsah,Indlejret indhold,Ingesloten inhoud,Embedded Content,Manustatud sisu,Upotettu sisältö,Contenu intégré,Eingebetteter Inhalt,תוכן מוטמע,Beágyazott tartalom,Innbyggt efni,Contenuto incorporato,埋め込みコンテンツ,내장 콘텐츠,Iegultais saturs,Įterptasis turinys,Kandungan Terbenam,Innebygd innhold,Treść osadzona,Conteúdo incorporado,Conținut încorporat,Встроенный контент,Уграђени садржај,Vložený obsah,Vdelana vsebina,Contenido incrustado,Inbäddat innehåll,เนื้อหาที่ฝังตัว,Вбудований контент,Nội dung nhúng
